id,name,nameEn,color,traits,prompt
cat,ネコ,Cat,#FFB6C1,"独立心が強い, マイペース, 気まぐれ","A single Cat, centered in the frame, illustrated in a cute minimalist style.

CRITICAL REQUIREMENTS:
- ONLY ONE Cat - no duplicates, no multiple animals
- Animal must be CENTERED and take up 60-70% of the image
- Front-facing view, looking directly at viewer
- Sitting or standing pose - simple and clear

STYLE (match the reference style exactly):
- Soft, rounded shapes with gentle curves
- Smooth gradients and soft shading
- Pastel-like colors with subtle highlights
- Kawaii aesthetic - big eyes, friendly expression
- Clean, simple design without excessive details
- Professional digital illustration quality

BACKGROUND:
- Solid color with subtle radial gradient
- Primary color: #FFB6C1
- Lighter in center, slightly darker at edges
- No patterns, no decorations, no text

CHARACTER DESIGN:
- Clearly recognizable as a Cat
- Friendly, approachable facial expression
- Soft, rounded body proportions
- Should look 独立心が強い, マイペース, 気まぐれ

TECHNICAL:
- Square format (1:1 ratio)
- High resolution, clean edges
- No watermarks, no text, no signatures
- Consistent lighting from above
- Soft drop shadow beneath the character

This should look like a professional character illustration for a personality test app, similar to MBTI or 16Personalities style."
dog,イヌ,Dog,#DEB887,"忠実, 社交的, ポジティブ","A single Dog, centered in the frame, illustrated in a cute minimalist style.

CRITICAL REQUIREMENTS:
- ONLY ONE Dog - no duplicates, no multiple animals
- Animal must be CENTERED and take up 60-70% of the image
- Front-facing view, looking directly at viewer
- Sitting or standing pose - simple and clear

STYLE (match the reference style exactly):
- Soft, rounded shapes with gentle curves
- Smooth gradients and soft shading
- Pastel-like colors with subtle highlights
- Kawaii aesthetic - big eyes, friendly expression
- Clean, simple design without excessive details
- Professional digital illustration quality

BACKGROUND:
- Solid color with subtle radial gradient
- Primary color: #DEB887
- Lighter in center, slightly darker at edges
- No patterns, no decorations, no text

CHARACTER DESIGN:
- Clearly recognizable as a Dog
- Friendly, approachable facial expression
- Soft, rounded body proportions
- Should look 忠実, 社交的, ポジティブ

TECHNICAL:
- Square format (1:1 ratio)
- High resolution, clean edges
- No watermarks, no text, no signatures
- Consistent lighting from above
- Soft drop shadow beneath the character

This should look like a professional character illustration for a personality test app, similar to MBTI or 16Personalities style."
rabbit,ウサギ,Rabbit,#F0E68C,"優しい, 繊細, 平和主義","A single Rabbit, centered in the frame, illustrated in a cute minimalist style.

CRITICAL REQUIREMENTS:
- ONLY ONE Rabbit - no duplicates, no multiple animals
- Animal must be CENTERED and take up 60-70% of the image
- Front-facing view, looking directly at viewer
- Sitting or standing pose - simple and clear

STYLE (match the reference style exactly):
- Soft, rounded shapes with gentle curves
- Smooth gradients and soft shading
- Pastel-like colors with subtle highlights
- Kawaii aesthetic - big eyes, friendly expression
- Clean, simple design without excessive details
- Professional digital illustration quality

BACKGROUND:
- Solid color with subtle radial gradient
- Primary color: #F0E68C
- Lighter in center, slightly darker at edges
- No patterns, no decorations, no text

CHARACTER DESIGN:
- Clearly recognizable as a Rabbit
- Friendly, approachable facial expression
- Soft, rounded body proportions
- Should look 優しい, 繊細, 平和主義

TECHNICAL:
- Square format (1:1 ratio)
- High resolution, clean edges
- No watermarks, no text, no signatures
- Consistent lighting from above
- Soft drop shadow beneath the character

This should look like a professional character illustration for a personality test app, similar to MBTI or 16Personalities style."
fox,キツネ,Fox,#FF8C00,"賢い, 機転が利く, 適応力が高い","A single Fox, centered in the frame, illustrated in a cute minimalist style.

CRITICAL REQUIREMENTS:
- ONLY ONE Fox - no duplicates, no multiple animals
- Animal must be CENTERED and take up 60-70% of the image
- Front-facing view, looking directly at viewer
- Sitting or standing pose - simple and clear

STYLE (match the reference style exactly):
- Soft, rounded shapes with gentle curves
- Smooth gradients and soft shading
- Pastel-like colors with subtle highlights
- Kawaii aesthetic - big eyes, friendly expression
- Clean, simple design without excessive details
- Professional digital illustration quality

BACKGROUND:
- Solid color with subtle radial gradient
- Primary color: #FF8C00
- Lighter in center, slightly darker at edges
- No patterns, no decorations, no text

CHARACTER DESIGN:
- Clearly recognizable as a Fox
- Friendly, approachable facial expression
- Soft, rounded body proportions
- Should look 賢い, 機転が利く, 適応力が高い

TECHNICAL:
- Square format (1:1 ratio)
- High resolution, clean edges
- No watermarks, no text, no signatures
- Consistent lighting from above
- Soft drop shadow beneath the character

This should look like a professional character illustration for a personality test app, similar to MBTI or 16Personalities style."
owl,フクロウ,Owl,#8B7355,"知的, 冷静, 洞察力がある","A single Owl, centered in the frame, illustrated in a cute minimalist style.

CRITICAL REQUIREMENTS:
- ONLY ONE Owl - no duplicates, no multiple animals
- Animal must be CENTERED and take up 60-70% of the image
- Front-facing view, looking directly at viewer
- Sitting or standing pose - simple and clear

STYLE (match the reference style exactly):
- Soft, rounded shapes with gentle curves
- Smooth gradients and soft shading
- Pastel-like colors with subtle highlights
- Kawaii aesthetic - big eyes, friendly expression
- Clean, simple design without excessive details
- Professional digital illustration quality

BACKGROUND:
- Solid color with subtle radial gradient
- Primary color: #8B7355
- Lighter in center, slightly darker at edges
- No patterns, no decorations, no text

CHARACTER DESIGN:
- Clearly recognizable as a Owl
- Friendly, approachable facial expression
- Soft, rounded body proportions
- Should look 知的, 冷静, 洞察力がある

TECHNICAL:
- Square format (1:1 ratio)
- High resolution, clean edges
- No watermarks, no text, no signatures
- Consistent lighting from above
- Soft drop shadow beneath the character

This should look like a professional character illustration for a personality test app, similar to MBTI or 16Personalities style."
panda,パンダ,Panda,#000000,"のんびり, マイペース, 癒し系","A single Panda, centered in the frame, illustrated in a cute minimalist style.

CRITICAL REQUIREMENTS:
- ONLY ONE Panda - no duplicates, no multiple animals
- Animal must be CENTERED and take up 60-70% of the image
- Front-facing view, looking directly at viewer
- Sitting or standing pose - simple and clear

STYLE (match the reference style exactly):
- Soft, rounded shapes with gentle curves
- Smooth gradients and soft shading
- Pastel-like colors with subtle highlights
- Kawaii aesthetic - big eyes, friendly expression
- Clean, simple design without excessive details
- Professional digital illustration quality

BACKGROUND:
- Solid color with subtle radial gradient
- Primary color: #000000
- Lighter in center, slightly darker at edges
- No patterns, no decorations, no text

CHARACTER DESIGN:
- Clearly recognizable as a Panda
- Friendly, approachable facial expression
- Soft, rounded body proportions
- Should look のんびり, マイペース, 癒し系

TECHNICAL:
- Square format (1:1 ratio)
- High resolution, clean edges
- No watermarks, no text, no signatures
- Consistent lighting from above
- Soft drop shadow beneath the character

This should look like a professional character illustration for a personality test app, similar to MBTI or 16Personalities style."
penguin,ペンギン,Penguin,#4169E1,"協調性がある, チームプレイヤー, 真面目","A single Penguin, centered in the frame, illustrated in a cute minimalist style.

CRITICAL REQUIREMENTS:
- ONLY ONE Penguin - no duplicates, no multiple animals
- Animal must be CENTERED and take up 60-70% of the image
- Front-facing view, looking directly at viewer
- Sitting or standing pose - simple and clear

STYLE (match the reference style exactly):
- Soft, rounded shapes with gentle curves
- Smooth gradients and soft shading
- Pastel-like colors with subtle highlights
- Kawaii aesthetic - big eyes, friendly expression
- Clean, simple design without excessive details
- Professional digital illustration quality

BACKGROUND:
- Solid color with subtle radial gradient
- Primary color: #4169E1
- Lighter in center, slightly darker at edges
- No patterns, no decorations, no text

CHARACTER DESIGN:
- Clearly recognizable as a Penguin
- Friendly, approachable facial expression
- Soft, rounded body proportions
- Should look 協調性がある, チームプレイヤー, 真面目

TECHNICAL:
- Square format (1:1 ratio)
- High resolution, clean edges
- No watermarks, no text, no signatures
- Consistent lighting from above
- Soft drop shadow beneath the character

This should look like a professional character illustration for a personality test app, similar to MBTI or 16Personalities style."
lion,ライオン,Lion,#DAA520,"リーダーシップがある, 自信がある, 情熱的","A single Lion, centered in the frame, illustrated in a cute minimalist style.

CRITICAL REQUIREMENTS:
- ONLY ONE Lion - no duplicates, no multiple animals
- Animal must be CENTERED and take up 60-70% of the image
- Front-facing view, looking directly at viewer
- Sitting or standing pose - simple and clear

STYLE (match the reference style exactly):
- Soft, rounded shapes with gentle curves
- Smooth gradients and soft shading
- Pastel-like colors with subtle highlights
- Kawaii aesthetic - big eyes, friendly expression
- Clean, simple design without excessive details
- Professional digital illustration quality

BACKGROUND:
- Solid color with subtle radial gradient
- Primary color: #DAA520
- Lighter in center, slightly darker at edges
- No patterns, no decorations, no text

CHARACTER DESIGN:
- Clearly recognizable as a Lion
- Friendly, approachable facial expression
- Soft, rounded body proportions
- Should look リーダーシップがある, 自信がある, 情熱的

TECHNICAL:
- Square format (1:1 ratio)
- High resolution, clean edges
- No watermarks, no text, no signatures
- Consistent lighting from above
- Soft drop shadow beneath the character

This should look like a professional character illustration for a personality test app, similar to MBTI or 16Personalities style."
dolphin,イルカ,Dolphin,#00BFFF,"明るい, 社交的, ムードメーカー","A single Dolphin, centered in the frame, illustrated in a cute minimalist style.

CRITICAL REQUIREMENTS:
- ONLY ONE Dolphin - no duplicates, no multiple animals
- Animal must be CENTERED and take up 60-70% of the image
- Front-facing view, looking directly at viewer
- Sitting or standing pose - simple and clear

STYLE (match the reference style exactly):
- Soft, rounded shapes with gentle curves
- Smooth gradients and soft shading
- Pastel-like colors with subtle highlights
- Kawaii aesthetic - big eyes, friendly expression
- Clean, simple design without excessive details
- Professional digital illustration quality

BACKGROUND:
- Solid color with subtle radial gradient
- Primary color: #00BFFF
- Lighter in center, slightly darker at edges
- No patterns, no decorations, no text

CHARACTER DESIGN:
- Clearly recognizable as a Dolphin
- Friendly, approachable facial expression
- Soft, rounded body proportions
- Should look 明るい, 社交的, ムードメーカー

TECHNICAL:
- Square format (1:1 ratio)
- High resolution, clean edges
- No watermarks, no text, no signatures
- Consistent lighting from above
- Soft drop shadow beneath the character

This should look like a professional character illustration for a personality test app, similar to MBTI or 16Personalities style."
koala,コアラ,Koala,#808080,"のんびり, 穏やか, マイペース","A single Koala, centered in the frame, illustrated in a cute minimalist style.

CRITICAL REQUIREMENTS:
- ONLY ONE Koala - no duplicates, no multiple animals
- Animal must be CENTERED and take up 60-70% of the image
- Front-facing view, looking directly at viewer
- Sitting or standing pose - simple and clear

STYLE (match the reference style exactly):
- Soft, rounded shapes with gentle curves
- Smooth gradients and soft shading
- Pastel-like colors with subtle highlights
- Kawaii aesthetic - big eyes, friendly expression
- Clean, simple design without excessive details
- Professional digital illustration quality

BACKGROUND:
- Solid color with subtle radial gradient
- Primary color: #808080
- Lighter in center, slightly darker at edges
- No patterns, no decorations, no text

CHARACTER DESIGN:
- Clearly recognizable as a Koala
- Friendly, approachable facial expression
- Soft, rounded body proportions
- Should look のんびり, 穏やか, マイペース

TECHNICAL:
- Square format (1:1 ratio)
- High resolution, clean edges
- No watermarks, no text, no signatures
- Consistent lighting from above
- Soft drop shadow beneath the character

This should look like a professional character illustration for a personality test app, similar to MBTI or 16Personalities style."
