id,name,nameEn,color,traits,prompt
cat,ネコ,Cat,#FFB6C1,"独立心が強い, マイペース, 気まぐれ","Create a cute, minimalist illustration of a Cat in MBTI personality test style.
Style requirements:
- Simple, flat design with rounded shapes
- Friendly and approachable character
- Clean lines, no complex details
- Solid color background matching #FFB6C1
- Character should be centered and take up 70% of canvas
- Kawaii/cute aesthetic similar to Japanese character design
- No text or labels
- Square format (1:1 aspect ratio)

The Cat should look:
独立心が強い, マイペース, 気まぐれ

Keep it simple, charming, and instantly recognizable."
dog,イヌ,Dog,#DEB887,"忠実, 社交的, ポジティブ","Create a cute, minimalist illustration of a Dog in MBTI personality test style.
Style requirements:
- Simple, flat design with rounded shapes
- Friendly and approachable character
- Clean lines, no complex details
- Solid color background matching #DEB887
- Character should be centered and take up 70% of canvas
- Kawaii/cute aesthetic similar to Japanese character design
- No text or labels
- Square format (1:1 aspect ratio)

The Dog should look:
忠実, 社交的, ポジティブ

Keep it simple, charming, and instantly recognizable."
rabbit,ウサギ,Rabbit,#F0E68C,"優しい, 繊細, 平和主義","Create a cute, minimalist illustration of a Rabbit in MBTI personality test style.
Style requirements:
- Simple, flat design with rounded shapes
- Friendly and approachable character
- Clean lines, no complex details
- Solid color background matching #F0E68C
- Character should be centered and take up 70% of canvas
- Kawaii/cute aesthetic similar to Japanese character design
- No text or labels
- Square format (1:1 aspect ratio)

The Rabbit should look:
優しい, 繊細, 平和主義

Keep it simple, charming, and instantly recognizable."
fox,キツネ,Fox,#FF8C00,"賢い, 機転が利く, 適応力が高い","Create a cute, minimalist illustration of a Fox in MBTI personality test style.
Style requirements:
- Simple, flat design with rounded shapes
- Friendly and approachable character
- Clean lines, no complex details
- Solid color background matching #FF8C00
- Character should be centered and take up 70% of canvas
- Kawaii/cute aesthetic similar to Japanese character design
- No text or labels
- Square format (1:1 aspect ratio)

The Fox should look:
賢い, 機転が利く, 適応力が高い

Keep it simple, charming, and instantly recognizable."
owl,フクロウ,Owl,#8B7355,"知的, 冷静, 洞察力がある","Create a cute, minimalist illustration of a Owl in MBTI personality test style.
Style requirements:
- Simple, flat design with rounded shapes
- Friendly and approachable character
- Clean lines, no complex details
- Solid color background matching #8B7355
- Character should be centered and take up 70% of canvas
- Kawaii/cute aesthetic similar to Japanese character design
- No text or labels
- Square format (1:1 aspect ratio)

The Owl should look:
知的, 冷静, 洞察力がある

Keep it simple, charming, and instantly recognizable."
panda,パンダ,Panda,#000000,"のんびり, マイペース, 癒し系","Create a cute, minimalist illustration of a Panda in MBTI personality test style.
Style requirements:
- Simple, flat design with rounded shapes
- Friendly and approachable character
- Clean lines, no complex details
- Solid color background matching #000000
- Character should be centered and take up 70% of canvas
- Kawaii/cute aesthetic similar to Japanese character design
- No text or labels
- Square format (1:1 aspect ratio)

The Panda should look:
のんびり, マイペース, 癒し系

Keep it simple, charming, and instantly recognizable."
penguin,ペンギン,Penguin,#4169E1,"協調性がある, チームプレイヤー, 真面目","Create a cute, minimalist illustration of a Penguin in MBTI personality test style.
Style requirements:
- Simple, flat design with rounded shapes
- Friendly and approachable character
- Clean lines, no complex details
- Solid color background matching #4169E1
- Character should be centered and take up 70% of canvas
- Kawaii/cute aesthetic similar to Japanese character design
- No text or labels
- Square format (1:1 aspect ratio)

The Penguin should look:
協調性がある, チームプレイヤー, 真面目

Keep it simple, charming, and instantly recognizable."
lion,ライオン,Lion,#DAA520,"リーダーシップがある, 自信がある, 情熱的","Create a cute, minimalist illustration of a Lion in MBTI personality test style.
Style requirements:
- Simple, flat design with rounded shapes
- Friendly and approachable character
- Clean lines, no complex details
- Solid color background matching #DAA520
- Character should be centered and take up 70% of canvas
- Kawaii/cute aesthetic similar to Japanese character design
- No text or labels
- Square format (1:1 aspect ratio)

The Lion should look:
リーダーシップがある, 自信がある, 情熱的

Keep it simple, charming, and instantly recognizable."
dolphin,イルカ,Dolphin,#00BFFF,"明るい, 社交的, ムードメーカー","Create a cute, minimalist illustration of a Dolphin in MBTI personality test style.
Style requirements:
- Simple, flat design with rounded shapes
- Friendly and approachable character
- Clean lines, no complex details
- Solid color background matching #00BFFF
- Character should be centered and take up 70% of canvas
- Kawaii/cute aesthetic similar to Japanese character design
- No text or labels
- Square format (1:1 aspect ratio)

The Dolphin should look:
明るい, 社交的, ムードメーカー

Keep it simple, charming, and instantly recognizable."
koala,コアラ,Koala,#808080,"のんびり, 穏やか, マイペース","Create a cute, minimalist illustration of a Koala in MBTI personality test style.
Style requirements:
- Simple, flat design with rounded shapes
- Friendly and approachable character
- Clean lines, no complex details
- Solid color background matching #808080
- Character should be centered and take up 70% of canvas
- Kawaii/cute aesthetic similar to Japanese character design
- No text or labels
- Square format (1:1 aspect ratio)

The Koala should look:
のんびり, 穏やか, マイペース

Keep it simple, charming, and instantly recognizable."
